Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Visual Studio 2008,Pro w/MSDN Premium,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Pro w/MSDN Premium,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,Professional,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Professional,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,Professional w/MSDN,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Professional w/MSDN,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,Team Suite,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Team Suite,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,Team Test Load Agent,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Team Test Load Agent,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,VB Express,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,VB Express,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,Visual Basic Express,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Visual Basic Express,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,Visual C# Express,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Visual C# Express,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,Visual C++ Express,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Visual C++ Express,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2008,Visual Web Developer Express,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio 2008,Visual Web Developer Express,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio 2010,Express for Web,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Express for Web,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2010,Express for Windows Phone,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Express for Windows Phone,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2010,Premium,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Premium,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2010,Professional,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Professional,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2010,Test Professional,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Test Professional,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2010,Ultimate,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Ultimate,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2010,Visual Basic Express,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Visual Basic Express,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2010,Visual C# Express,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Visual C# Express,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2010,Visual C++ Express,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Visual C++ Express,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2010,Visual Web Developer Express,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio 2010,Visual Web Developer Express,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio 2012,Express for Web,Original Release,,Fixed,31/10/2012,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Express for Web,Update 4,,Fixed,12/11/2013,08/10/2019,-2513,Out of Support
,Visual Studio 2012,Express for Web,Update 5,,Fixed,21/08/2015,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Express for Windows Desktop,Original Release,,Fixed,31/10/2012,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Express for Windows Desktop,Update 4,,Fixed,12/11/2013,08/10/2019,-2513,Out of Support
,Visual Studio 2012,Express for Windows Desktop,Update 5,,Fixed,21/08/2015,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Premium,Original Release,,Fixed,31/10/2012,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Premium,Update 4,,Fixed,12/11/2013,08/10/2019,-2513,Out of Support
,Visual Studio 2012,Premium,Update 5,,Fixed,21/08/2015,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Professional,Original Release,,Fixed,31/10/2012,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Professional,Update 4,,Fixed,12/11/2013,08/10/2019,-2513,Out of Support
,Visual Studio 2012,Professional,Update 5,,Fixed,21/08/2015,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Team Explorer,Original Release,,Fixed,31/10/2012,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Team Explorer,Update 4,,Fixed,12/11/2013,08/10/2019,-2513,Out of Support
,Visual Studio 2012,Team Explorer,Update 5,,Fixed,21/08/2015,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Ultimate,Original Release,,Fixed,31/10/2012,10/01/2023,-1323,Out of Support
,Visual Studio 2012,Ultimate,Update 4,,Fixed,12/11/2013,08/10/2019,-2513,Out of Support
,Visual Studio 2012,Ultimate,Update 5,,Fixed,21/08/2015,10/01/2023,-1323,Out of Support
,Visual Studio 2013,Community,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio 2013,Community,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio 2013,Express for Web,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio 2013,Express for Web,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio 2013,Express for Windows,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio 2013,Express for Windows,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio 2013,Express for Windows Desktop,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio 2013,Express for Windows Desktop,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio 2013,Premium,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio 2013,Premium,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio 2013,Professional,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio 2013,Professional,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio 2013,Release Management,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio 2013,Release Management,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio 2013,Test Professional,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio 2013,Test Professional,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio 2013,Ultimate,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio 2013,Ultimate,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio 2015,Community,Original Release,,Fixed,20/07/2015,11/07/2017,-3332,Out of Support
,Visual Studio 2015,Community,Update 3,,Fixed,27/06/2016,14/10/2025,-315,Out of Support
,Visual Studio 2015,Enterprise,Original Release,,Fixed,20/07/2015,11/07/2017,-3332,Out of Support
,Visual Studio 2015,Enterprise,Update 3,,Fixed,27/06/2016,14/10/2025,-315,Out of Support
,Visual Studio 2015,Express for Web,Original Release,,Fixed,20/07/2015,11/07/2017,-3332,Out of Support
,Visual Studio 2015,Express for Web,Update 3,,Fixed,27/06/2016,14/10/2025,-315,Out of Support
,Visual Studio 2015,Express for Windows 10,Original Release,,Fixed,20/07/2015,11/07/2017,-3332,Out of Support
,Visual Studio 2015,Express for Windows 10,Update 3,,Fixed,27/06/2016,14/10/2025,-315,Out of Support
,Visual Studio 2015,Express for Windows Desktop,Original Release,,Fixed,20/07/2015,11/07/2017,-3332,Out of Support
,Visual Studio 2015,Express for Windows Desktop,Update 3,,Fixed,27/06/2016,14/10/2025,-315,Out of Support
,Visual Studio 2015,Professional,Original Release,,Fixed,20/07/2015,11/07/2017,-3332,Out of Support
,Visual Studio 2015,Professional,Update 3,,Fixed,27/06/2016,14/10/2025,-315,Out of Support
,Visual Studio 2015,Release Management,Original Release,,Fixed,20/07/2015,11/07/2017,-3332,Out of Support
,Visual Studio 2015,Release Management,Update 3,,Fixed,27/06/2016,14/10/2025,-315,Out of Support
,Visual Studio 2015,Test Professional,Original Release,,Fixed,20/07/2015,11/07/2017,-3332,Out of Support
,Visual Studio 2015,Test Professional,Update 3,,Fixed,27/06/2016,14/10/2025,-315,Out of Support
,Visual Studio 2017,Community,Version 15.0,,Fixed,07/03/2017,14/01/2020,-2415,Out of Support
,Visual Studio 2017,Enterprise,Version 15.0,,Fixed,07/03/2017,14/01/2020,-2415,Out of Support
,Visual Studio 2017,Professional,Version 15.0,,Fixed,07/03/2017,14/01/2020,-2415,Out of Support
,Visual Studio 2017,Test Professional,Version 15.0,,Fixed,07/03/2017,14/01/2020,-2415,Out of Support
,Visual Studio 2019,Community,Version 16.0,,Fixed,02/04/2019,12/01/2021,-2051,Out of Support
,Visual Studio 2019,Community,Version 16.4,,Fixed,03/12/2019,12/10/2021,-1778,Out of Support
,Visual Studio 2019,Community,Version 16.7,,Fixed,05/08/2020,12/04/2022,-1596,Out of Support
,Visual Studio 2019,Community,Version 16.9,,Fixed,02/03/2021,11/10/2022,-1414,Out of Support
,Visual Studio 2019,Enterprise,Version 16.0,,Fixed,02/04/2019,12/01/2021,-2051,Out of Support
,Visual Studio 2019,Enterprise,Version 16.4,,Fixed,03/12/2019,12/10/2021,-1778,Out of Support
,Visual Studio 2019,Enterprise,Version 16.7,,Fixed,05/08/2020,12/04/2022,-1596,Out of Support
,Visual Studio 2019,Enterprise,Version 16.9,,Fixed,02/03/2021,11/10/2022,-1414,Out of Support
,Visual Studio 2019,Professional,Version 16.0,,Fixed,02/04/2019,12/01/2021,-2051,Out of Support
,Visual Studio 2019,Professional,Version 16.4,,Fixed,03/12/2019,12/10/2021,-1778,Out of Support
,Visual Studio 2019,Professional,Version 16.7,,Fixed,05/08/2020,12/04/2022,-1596,Out of Support
,Visual Studio 2019,Professional,Version 16.9,,Fixed,02/03/2021,11/10/2022,-1414,Out of Support
,Visual Studio 2022,Community,Version 17.0 (LTSC channel),,Fixed,08/11/2021,11/07/2023,-1141,Out of Support
,Visual Studio 2022,Community,Version 17.10 (LTSC channel),,Fixed,21/05/2024,13/01/2026,-224,Out of Support
,Visual Studio 2022,Community,Version 17.2 (LTSC channel),,Fixed,10/05/2022,09/01/2024,-959,Out of Support
,Visual Studio 2022,Community,Version 17.4 (LTSC channel),,Fixed,08/11/2022,09/07/2024,-777,Out of Support
,Visual Studio 2022,Community,Version 17.6 (LTSC channel),,Fixed,16/05/2023,14/01/2025,-588,Out of Support
,Visual Studio 2022,Community,Version 17.8 (LTSC channel),,Fixed,14/11/2023,08/07/2025,-413,Out of Support
,Visual Studio 2022,Enterprise,Version 17.0 (LTSC channel),,Fixed,08/11/2021,11/07/2023,-1141,Out of Support
,Visual Studio 2022,Enterprise,Version 17.10 (LTSC channel),,Fixed,21/05/2024,13/01/2026,-224,Out of Support
,Visual Studio 2022,Enterprise,Version 17.2 (LTSC channel),,Fixed,10/05/2022,09/01/2024,-959,Out of Support
,Visual Studio 2022,Enterprise,Version 17.4 (LTSC channel),,Fixed,08/11/2022,09/07/2024,-777,Out of Support
,Visual Studio 2022,Enterprise,Version 17.6 (LTSC channel),,Fixed,16/05/2023,14/01/2025,-588,Out of Support
,Visual Studio 2022,Enterprise,Version 17.8 (LTSC channel),,Fixed,14/11/2023,08/07/2025,-413,Out of Support
,Visual Studio 2022,Professional,Version 17.0 (LTSC channel),,Fixed,08/11/2021,11/07/2023,-1141,Out of Support
,Visual Studio 2022,Professional,Version 17.10 (LTSC channel),,Fixed,21/05/2024,13/01/2026,-224,Out of Support
,Visual Studio 2022,Professional,Version 17.2 (LTSC channel),,Fixed,10/05/2022,09/01/2024,-959,Out of Support
,Visual Studio 2022,Professional,Version 17.4 (LTSC channel),,Fixed,08/11/2022,09/07/2024,-777,Out of Support
,Visual Studio 2022,Professional,Version 17.6 (LTSC channel),,Fixed,16/05/2023,14/01/2025,-588,Out of Support
,Visual Studio 2022,Professional,Version 17.8 (LTSC channel),,Fixed,14/11/2023,08/07/2025,-413,Out of Support
,Visual Studio App Center,,Original Release,,Modern,11/05/2017,31/03/2025,-512,Out of Support
,Visual Studio Code,,Original Release,,Modern,14/04/2016,31/12/2099,26791,Out of Support
,Visual Studio for Mac,Community,Visual Studio 2017 for Mac,,Modern,10/05/2017,08/03/2019,-2727,Out of Support
,Visual Studio for Mac,Community,Visual Studio 2019 for Mac,,Modern,08/03/2019,23/05/2022,-1555,Out of Support
,Visual Studio for Mac,Community,Visual Studio 2022 for Mac,,Modern,23/05/2022,31/08/2024,-724,Out of Support
,Visual Studio for Mac,Enterprise,Visual Studio 2017 for Mac,,Modern,10/05/2017,08/03/2019,-2727,Out of Support
,Visual Studio for Mac,Enterprise,Visual Studio 2019 for Mac,,Modern,08/03/2019,23/05/2022,-1555,Out of Support
,Visual Studio for Mac,Enterprise,Visual Studio 2022 for Mac,,Modern,23/05/2022,31/08/2024,-724,Out of Support
,Visual Studio for Mac,Professional,Visual Studio 2017 for Mac,,Modern,10/05/2017,08/03/2019,-2727,Out of Support
,Visual Studio for Mac,Professional,Visual Studio 2019 for Mac,,Modern,08/03/2019,23/05/2022,-1555,Out of Support
,Visual Studio for Mac,Professional,Visual Studio 2022 for Mac,,Modern,23/05/2022,31/08/2024,-724,Out of Support
,Visual Studio LightSwitch 2011,,Original Release,,Fixed,30/10/2011,11/01/2022,-1687,Out of Support
,Visual Studio Team Foundation Server 2005,,Original Release,,Fixed,17/06/2006,08/01/2008,-6804,Out of Support
,Visual Studio Team Foundation Server 2005,,Service Pack 1,,Fixed,14/12/2006,12/07/2016,-3696,Out of Support
,Visual Studio Team Foundation Server 2010,All applicable,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio Team Foundation Server 2010,All applicable,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio Team Foundation Server 2010,External Connector,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio Team Foundation Server 2010,External Connector,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio Team Foundation Server 2010,Team Agents,Original Release,,Fixed,29/06/2010,10/04/2012,-5250,Out of Support
,Visual Studio Team Foundation Server 2010,Team Agents,Service Pack 1,,Fixed,08/03/2011,14/07/2020,-2233,Out of Support
,Visual Studio Team Foundation Server 2012,All,Original Release,,Fixed,31/10/2012,13/01/2015,-4242,Out of Support
,Visual Studio Team Foundation Server 2012,All,Update 4,,Fixed,12/11/2013,10/01/2023,-1323,Out of Support
,Visual Studio Team Foundation Server 2013,All,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio Team Foundation Server 2013,All,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio Team Foundation Server 2013,Release Management,Original Release,,Fixed,15/01/2014,11/10/2016,-3605,Out of Support
,Visual Studio Team Foundation Server 2013,Release Management,Update 5,,Fixed,20/07/2015,09/04/2024,-868,Out of Support
,Visual Studio Team Foundation Server 2015,All,Original Release,,Fixed,20/07/2015,10/04/2018,-3059,Out of Support
,Visual Studio Team Foundation Server 2015,All,Update 3,,Fixed,27/06/2016,10/07/2018,-2968,Out of Support
,Visual Studio Team Foundation Server 2015,All,Update 4,,Fixed,11/04/2017,14/10/2025,-315,Out of Support
,Visual Studio Team Foundation Server 2017,,Original Release,,Fixed,16/11/2016,08/01/2019,-2786,Out of Support
,Visual Studio Team System 2008,All,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio Team System 2008,All,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio Team System 2008,Architecture,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio Team System 2008,Architecture,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio Team System 2008,Database,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio Team System 2008,Database,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio Team System 2008,Development,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio Team System 2008,Development,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio Team System 2008,Team Explorer,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio Team System 2008,Team Explorer,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio Team System 2008,Team Test Load Agent,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio Team System 2008,Team Test Load Agent,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio Team System 2008,TFS,Original Release,,Fixed,19/02/2008,13/10/2009,-6160,Out of Support
,Visual Studio Team System 2008,TFS,Service Pack 1,,Fixed,11/08/2008,10/04/2018,-3059,Out of Support
,Visual Studio Tools for the Microsoft Office System version 2003,,Original Release,,Fixed,04/12/2003,14/01/2014,-4606,Out of Support
,Viva Sales,,Original Release,,Modern,01/10/2022,31/12/2099,26791,Out of Support
,Volume,,,Create basic networking volumes,,,31/05/2026,-86,Out of Support
,Whale Communications Intelligent Application Gateway,,3.1,,Fixed,10/10/2007,08/07/2008,-6622,Out of Support
,Whale Communications Intelligent Application Gateway,,3.6,,Fixed,10/10/2007,13/07/2010,-5887,Out of Support
,WinAutomation,,Original Release,,Fixed,19/05/2020,01/12/2021,-1728,Out of Support
,Windows 10 2015 LTSB,Enterprise,Original Release,,Fixed,29/07/2015,14/10/2025,-315,Out of Support
,Windows 10 Enterprise and Education,Education,Version 1507,,Modern,29/07/2015,09/05/2017,-3395,Out of Support
,Windows 10 Enterprise and Education,Education,Version 1511,,Modern,10/11/2015,10/10/2017,-3241,Out of Support
,Windows 10 Enterprise and Education,Education,Version 1607,,Modern,02/08/2016,09/04/2019,-2695,Out of Support
,Windows 10 Enterprise and Education,Education,Version 1703,,Modern,11/04/2017,08/10/2019,-2513,Out of Support
