Vendor,Product,Version,Release,Azure Feature,LifecyclePolicy,StartDate,EndOfSupport,DaysToEOS,LifecycleStatus
,Exchange Server 2003,Standard,Original Release,,Fixed,28/09/2003,25/05/2005,-7762,Out of Support
,Exchange Server 2003,Standard,Service Pack 1,,Fixed,25/05/2004,08/01/2008,-6804,Out of Support
,Exchange Server 2003,Standard,Service Pack 2,,Fixed,19/10/2005,08/04/2014,-4522,Out of Support
,Exchange Server 2007,Enterprise,Original Release,,Fixed,08/03/2007,13/01/2009,-6433,Out of Support
,Exchange Server 2007,Enterprise,Service Pack 1,,Fixed,29/11/2007,12/10/2010,-5796,Out of Support
,Exchange Server 2007,Enterprise,Service Pack 2,,Fixed,24/08/2009,12/07/2011,-5523,Out of Support
,Exchange Server 2007,Enterprise,Service Pack 3,,Fixed,07/06/2010,11/04/2017,-3423,Out of Support
,Exchange Server 2007,Standard,Original Release,,Fixed,08/03/2007,13/01/2009,-6433,Out of Support
,Exchange Server 2007,Standard,Service Pack 1,,Fixed,29/11/2007,12/10/2010,-5796,Out of Support
,Exchange Server 2007,Standard,Service Pack 2,,Fixed,24/08/2009,12/07/2011,-5523,Out of Support
